332,812,1906,784,1906,953,332,981,What would you like ？
354,1068,1852,1056,1852,1191,354,1203,I'd like some noodles.
367,1327,1935,1327,1935,1469,367,1469,Have some fruit , please.
1352,2520,1786,2520,1786,2655,1352,2655,Lesson1
360,2816,2951,2766,2951,2863,360,2912,visit visit visit visit visit visit visit
363,3047,2845,2994,2845,3097,363,3150,sometimes sometimes sometimes sometimes
360,3246,2989,3199,2989,3372,360,3419,help help help help help help help help
2183,1554,2294,1554,2294,1776,2183,1776,###
2439,1591,2621,1591,2621,1755,2439,1755,4.8
2379,3359,2477,3359,2477,3549,2379,3549,###
2558,3378,2745,3378,2745,3520,2558,3520,4.8
