267,162,2805,127,2816,298,244,331,His speech made/left a deep impression on me
246,357,469,357,469,483,246,483,11.19
248,458,2757,452,2757,587,242,650,He runs much faster than any other student
242,678,1016,650,1000,774,239,814,in our school.
251,847,505,847,505,962,251,962,11.20
253,972,359,972,359,1127,253,1127,I
373,962,554,962,554,1131,373,1131,###
577,948,2826,933,2820,1101,562,1127,respect his for his kindness and courage.
246,1148,465,1148,465,1281,246,1281,11.21
248,1270,2765,1258,2765,1424,223,1443,With the intention of makeing money,he went
237,1481,627,1481,627,1636,237,1636,abroad.
204,1671,476,1671,476,1800,204,1800,11.22
212,1813,2219,1791,2219,1962,189,1973,I stuggled to live an active life.
211,2021,465,2021,465,2154,211,2154,11.23
189,2161,2888,2150,2884,2327,168,2319,I regretted to tell you that you had been fired
204,2377,458,2377,458,2518,204,2518,11.24
204,2532,1982,2522,1970,2711,197,2686,I regretted breaking the law.
190,2727,437,2727,437,2861,190,2861,11.25
185,2904,2873,2903,2881,3089,163,3085,I can hardlly imagine focusing his attention
189,3083,2442,3115,2442,3305,185,3277,on reading a book in a noisty street.
169,3276,460,3276,460,3448,169,3448,11.26
155,3471,2869,3480,2896,3682,147,3653,Unfortunately,he lost his job in his forties,
204,3667,2320,3682,2335,3910,166,3859,leaving his family even norse off.
223,30,394,30,394,97,223,97,Date
666,23,849,23,849,97,666,97,Page
