410,214,503,214,503,235,410,235,###
230,287,496,279,496,322,230,331,連続漫画小説
43,307,295,307,295,593,43,593,あ
323,392,466,392,466,610,323,610,さ
505,294,656,294,656,541,505,541,ド
675,356,833,356,833,618,675,618,ラ
842,295,968,295,968,521,842,521,!
884,532,1001,532,1001,571,884,571,volume
895,575,978,575,978,695,895,695,1
11,1338,1015,1405,1009,1476,10,1415,私がろんなをすれたらいいのに。
84,1426,897,1477,891,1585,83,1526,全世界待望!
21,1534,537,1575,526,1709,19,1663,浦沢直樹
547,1597,689,1570,700,1609,553,1637,構想7年
710,1579,998,1604,995,1676,708,1653,新たなる
539,1639,993,1676,989,1747,540,1707,ドラマの開幕!!
