38,16,259,0,259,80,38,128,얼큰한
307,2,684,2,684,90,307,90,###
2,416,210,416,210,494,2,494,###
267,368,700,368,700,518,267,518,ㅂ구리
1554,120,1982,120,1948,312,1520,312,###
1620,456,1987,456,1917,611,1550,611,###
1085,954,1383,974,1372,1098,1074,1075,오뚜기
1398,1185,1420,1185,1420,1213,1398,1213,R
1553,1047,2138,1017,2138,1350,1553,1379,컵누듣
215,1183,1390,1183,1390,1769,215,1769,베트남
1368,1393,2166,1393,2166,1781,1368,1781,쌀국주
1468,1874,2038,1874,2038,2040,1468,2040,145 kcal
1454,2116,2006,2116,2006,2206,1454,2206,Vietnamese
1487,2223,2073,2221,2073,2312,1487,2314,Rice Noodle
1169,2243,1406,2262,1406,2316,1169,2296,나트륨 함량을
1191,2300,1375,2314,1373,2367,1189,2353,비교하려면
1194,2357,1362,2369,1362,2421,1194,2410,QR코드룰
1173,2404,1369,2424,1369,2479,1173,2458,###
951,2389,1061,2389,1057,2452,947,2444,조리예
878,2453,1061,2464,1055,2552,873,2542,유혀:거며
727,2573,797,2574,797,2639,727,2639,면중
806,2545,1051,2559,1051,2659,806,2645,쌀기류87%
671,2649,1047,2673,1046,2773,670,2749,중량:47 g(145 kcal)
1530,2402,1724,2418,1720,2487,1526,2471,끓는물
1505,2486,1716,2502,1716,2629,1505,2613,3분
1862,2411,1955,2419,1954,2467,1860,2459,비닐류
1804,2518,1985,2535,1985,2580,1804,2562,OTHER
