851,1003,1466,984,1474,1090,857,1108,현대복지국가론
912,1153,1502,1131,1501,1188,915,1202,제1장 복지국가의 개념과 유형
915,1239,1589,1220,1589,1278,921,1294,제2장 복지국가의 기원,성립,전개
920,1335,1444,1321,1448,1373,922,1384,제3장 복지국가의 성립요인
923,1425,1507,1412,1509,1465,926,1477,제4장 복지국가의 이념과 가치
933,1513,1508,1505,1510,1558,935,1566,제5장 복지국가의 제도와 정책
937,1607,1771,1589,1773,1643,933,1659,제6장 복지국가의 위기와 재편:이론적 고찰
937,1697,1510,1686,1513,1738,936,1750,제7장 복지국가의 성과와 과제
937,1788,1475,1777,1475,1827,938,1836,제8장 한국 사회복지의 발전
945,1874,1617,1862,1616,1913,948,1922,제9장 한국 사회복지의 현황과 과제
949,1964,1738,1950,1739,1999,951,2013,제10장 생산적 복지:복지개혁의 제3의 길
1584,3596,2083,3595,2086,3643,1586,3648,9788982875878
1734,3671,2233,3671,2228,3711,1736,3720,ISBN 89-8287-587-5
2168,3441,2378,3441,2378,3485,2168,3497,93190
